uid,uname,login,post,life,ycf,isBM,isManager,uscore
1,HPLC,1422,127,256,0,0,0,2.8
2,zwei,307,36,117,0,0,0,1.2
3,SYSOP,1408,3,999,0,0,0,5
4,glgjssy,56,74,356,0,0,0,0.8
5,hewei,6700,3989,999,0,0,0,7.5
6,Witney,1130,37,573,0,0,0,2.4
7,funsin,944,87,573,0,0,0,2.7
8,yusheng,238,0,101,0,0,0,1.6
9,liboneao,1243,409,641,0,0,0,3.3
10,modus,1379,27,161,0,0,0,2.4
11,intermittent,2449,26,528,0,0,0,2.4
12,zhutengjiao,768,999,154,0,0,0,3.7
13,kuma,159,2,96,0,0,0,1
14,wgsonic,784,17,378,0,0,0,2.3
15,Bingqing,5,0,92,0,0,0,0
16,mein,1413,458,394,0,0,0,3.4
17,hiragicc,24,1,115,0,0,0,1.2
18,Miwako,48,30,116,0,0,0,0.7
19,smilezyf,4074,60,639,0,0,0,2.6
20,Soviet,1383,648,656,0,0,0,3.5
21,dinghao,2,0,26,0,0,0,0
22,rainierainie,243,33,622,0,0,0,2.4
23,hellocelia,1418,43,664,0,0,0,2.5
24,IDODO,641,118,422,1,0,0,2.8
25,MYMAYA,2293,2137,999,0,0,0,7.2
26,AlanShore,2211,433,219,0,0,0,3.3
27,linfighting,1334,74,116,0,0,0,1.6
28,FCB,4,0,37,0,0,0,0.2
29,kellygirl,374,125,424,0,0,0,2.8
30,tinder,2300,36,149,0,0,0,2.4
31,liugh,1,0,9,0,0,0,0
32,Yasmina,82,7,319,0,0,0,2.1
33,opton,4,0,109,0,0,0,0
34,qiu,1808,22,604,0,0,0,2.3
35,Samuelspirit,1356,287,509,0,0,0,3.2
36,loam,6213,4334,999,0,0,0,7.6
37,pkugongshz,1709,35,356,0,0,0,2.1
38,xywang,168,1,108,0,0,0,0.5
39,plusqingfeng,56,1,116,0,0,0,0.5
40,blueonskies,1637,130,658,0,0,0,2.8
41,condor,1645,150,605,0,0,0,2.9
42,mrcola,1656,103,664,3,0,0,2.8
43,Yositsune,258,90,304,0,0,0,2.7
44,chally,737,66,592,1,0,0,2.6
45,maths,1253,4942,546,1,0,0,4.7
46,makior,198,7,73,0,0,0,0.8
47,shiness,2310,634,663,0,0,0,3.5
48,foolday,1166,70,634,0,0,0,2.6
49,tangdd,1856,142,119,0,0,0,2
50,shineclover,2960,58,664,0,0,0,2.6
51,suisan,10,2,105,0,0,0,0.2
52,HowardZheng,2015,70,618,0,0,0,2.6
53,zhangying,768,84,256,0,0,0,2.7
54,llnllpku,340,57,118,0,0,0,2.5
55,zlheng,4,0,59,0,0,0,0.1
56,wps,724,42,659,0,0,0,2.5
57,qu,486,27,439,0,0,0,2.4
58,roppo,2516,378,394,0,0,0,3.3
