uid,uname,gender,zodiac,last_seen,duty,vip,IsFemale,IsNA,login,post,life,uscore,ycf,isDuty,isBM,isManager,isVIP
1,HPLC,Å®,Ë®Æ¿×ù,2016/12/15 8:23,user,NA,1,0,1422,127,256,2.8,0,0,0,0,0
2,zwei,ÄÐ,±£ÃÜ,2018/1/25 11:02,user,NA,0,0,307,36,117,1.2,0,0,0,0,0
3,SYSOP,±£ÃÜ,±£ÃÜ,2017/12/20 0:10,user,0,0,1,1408,3,999,5,0,0,0,0,1
4,glgjssy,±£ÃÜ,Ä¦ôÉ×ù,2018/1/18 15:37,user,NA,0,1,56,74,356,0.8,0,0,0,0,0
5,hewei,±£ÃÜ,±£ÃÜ,2016/8/16 22:44,user,NA,0,1,6700,3989,999,7.5,0,0,0,0,0
6,Witney,Å®,Ä¦ôÉ×ù,2018/1/27 10:47,user,NA,1,0,1130,37,573,2.4,0,0,0,0,0
7,funsin,ÄÐ,Ê¨×Ó×ù,2018/1/27 8:34,user,NA,0,0,944,87,573,2.7,0,0,0,0,0
8,yusheng,ÄÐ,ÌìÐ«×ù,2018/1/8 20:34,user,NA,0,0,238,0,101,1.6,0,0,0,0,0
9,liboneao,ÄÐ,Ë«×Ó×ù,2018/1/3 16:52,user,NA,0,0,1243,409,641,3.3,0,0,0,0,0
10,modus,ÄÐ,Ìì³Ó×ù,2016/9/11 11:36,user,NA,0,0,1379,27,161,2.4,0,0,0,0,0
11,intermittent,Å®,¾ÞÐ·×ù,2017/9/13 11:15,user,NA,1,0,2449,26,528,2.4,0,0,0,0,0
12,zhutengjiao,ÄÐ,Ë«×Ó×ù,2016/9/3 15:12,user,NA,0,0,768,999,154,3.7,0,0,0,0,0
13,kuma,±£ÃÜ,Ê¨×Ó×ù,2018/1/3 20:28,user,NA,0,1,159,2,96,1,0,0,0,0,0
14,wgsonic,ÄÐ,ÉäÊÖ×ù,2018/1/9 9:51,user,NA,0,0,784,17,378,2.3,0,0,0,0,0
15,Bingqing,Å®,±£ÃÜ,2017/12/30 23:44,user,NA,1,0,5,0,92,0,0,0,0,0,0
16,mein,ÄÐ,ÌìÐ«×ù,2018/1/23 0:00,user,NA,0,0,1413,458,394,3.4,0,0,0,0,0
17,hiragicc,ÄÐ,Ê¨×Ó×ù,2018/1/22 15:38,user,NA,0,0,24,1,115,1.2,0,0,0,0,0
18,Miwako,ÄÐ,±£ÃÜ,2018/1/24 10:05,user,NA,0,0,48,30,116,0.7,0,0,0,0,0
19,smilezyf,ÄÐ,ÄµÑò×ù,2018/1/2 11:01,user,NA,0,0,4074,60,639,2.6,0,0,0,0,0
20,Soviet,ÄÐ,Ë®Æ¿×ù,2018/1/19 11:49,user,NA,0,0,1383,648,656,3.5,0,0,0,0,0
21,dinghao,ÄÐ,±£ÃÜ,2018/1/24 6:31,user,NA,0,0,2,0,26,0,0,0,0,0,0
22,rainierainie,Å®,¾ÞÐ·×ù,2018/1/26 13:52,user,NA,1,0,243,33,622,2.4,0,0,0,0,0
23,hellocelia,Å®,ÉäÊÖ×ù,2018/1/26 20:03,user,NA,1,0,1418,43,664,2.5,0,0,0,0,0
24,IDODO,Å®,½ðÅ£×ù,2017/5/30 10:27,user,NA,1,0,641,118,422,2.8,1,0,0,0,0
25,MYMAYA,±£ÃÜ,±£ÃÜ,2017/6/7 17:34,user,NA,0,1,2293,2137,999,7.2,0,0,0,0,0
26,AlanShore,ÄÐ,Ê¨×Ó×ù,2016/11/8 9:55,user,NA,0,0,2211,433,219,3.3,0,0,0,0,0
27,linfighting,±£ÃÜ,±£ÃÜ,2018/1/23 20:07,user,NA,0,1,1334,74,116,1.6,0,0,0,0,0
28,FCB,±£ÃÜ,±£ÃÜ,2017/11/6 8:42,user,NA,0,1,4,0,37,0.2,0,0,0,0,0
29,kellygirl,Å®,ÌìÐ«×ù,2017/5/31 21:41,user,NA,1,0,374,125,424,2.8,0,0,0,0,0
30,tinder,ÄÐ,Ë«Óã×ù,2016/8/30 11:06,user,NA,0,0,2300,36,149,2.4,0,0,0,0,0
31,liugh,ÄÐ,Ìì³Ó×ù,2018/1/7 8:44,user,NA,0,0,1,0,9,0,0,0,0,0,0
32,Yasmina,±£ÃÜ,±£ÃÜ,2017/9/19 9:43,user,NA,0,1,82,7,319,2.1,0,0,0,0,0
33,opton,ÄÐ,±£ÃÜ,2018/1/17 6:28,user,NA,0,0,4,0,109,0,0,0,0,0,0
34,qiu,ÄÐ,Ìì³Ó×ù,2018/1/27 10:21,user,NA,0,0,1808,22,604,2.3,0,0,0,0,0
35,Samuelspirit,ÄÐ,ÄµÑò×ù,2017/8/25 11:30,user,NA,0,0,1356,287,509,3.2,0,0,0,0,0
36,loam,ÄÐ,ÉäÊÖ×ù,2016/6/20 22:50,user,NA,0,0,6213,4334,999,7.6,0,0,0,0,0
37,pkugongshz,ÄÐ,Ä¦ôÉ×ù,2018/1/18 19:33,user,NA,0,0,1709,35,356,2.1,0,0,0,0,0
